苗字,苗字（ふりがな）,人数,割合,名前（男）,名前（男）ふりがな,名前（女）,名前（女）ふりがな
長江,ながえ,12400,91753300,,,,
宗像,むなかた,12300,91765600,,,,
秋吉,あきよし,12300,91777900,,,,
砂田,すなだ,12300,91790200,,,,
鷲見,すみ,12300,91802500,,,,
古澤,ふるさわ,12300,91814800,,,,
塩原,しおばら,12300,91827100,,,,
松坂,まつさか,12200,91839300,,,,
石津,いしづ,12200,91851500,,,,
舟橋,ふなばし,12200,91863700,,,,
岩切,いわきり,12200,91875900,,,,
萩野,はぎの,12200,91888100,,,,
安本,やすもと,12200,91900300,,,,
竹谷,たけたに,12200,91912500,,,,
市橋,いちはし,12200,91924700,,,,
間瀬,ませ,12200,91936900,,,,
園部,そのべ,12200,91949100,,,,
真下,ました,12200,91961300,,,,
鬼塚,おにづか,12100,91973400,,,,
梶谷,かじたに,12100,91985500,,,,
平木,ひらき,12100,91997600,,,,
関川,せきかわ,12100,92009700,,,,
竹川,たけかわ,12100,92021800,,,,
蛭田,ひるた,12000,92033800,,,,
荒谷,あらや,12000,92045800,,,,
藤枝,ふじえだ,12000,92057800,,,,
広岡,ひろおか,12000,92069800,,,,
大岡,おおおか,12000,92081800,,,,
池野,いけの,12000,92093800,,,,
二階堂,にかいどう,12000,92105800,,,,
磯村,いそむら,11900,92117700,,,,
磯,いそ,11900,92129600,,,,
黒須,くろす,11900,92141500,,,,
桜庭,さくらば,11900,92153400,,,,
土岐,とき,11900,92165300,,,,
佐原,さはら,11900,92177200,,,,
村野,むらの,11900,92189100,,,,
竹沢,たけざわ,11900,92201000,,,,
岸野,きしの,11800,92212800,,,,
安倍,あべ,11800,92224600,,,,
辰巳,たつみ,11800,92236400,,,,
岡林,おかばやし,11800,92248200,,,,
鳥羽,とば,11800,92260000,,,,
犬塚,いぬづか,11800,92271800,,,,
東田,ひがしだ,11700,92283500,,,,
友田,ともだ,11700,92295200,,,,
川尻,かわじり,11700,92306900,,,,
一ノ瀬,いちのせ,11700,92318600,,,,
加賀谷,かがや,11700,92330300,,,,
高石,たかいし,11700,92342000,,,,
戸村,とむら,11700,92353700,,,,
副島,そえじま,11700,92365400,,,,
守田,もりた,11700,92377100,,,,
大堀,おおほり,11700,92388800,,,,
脇坂,わきさか,11700,92400500,,,,
大賀,たいが,11600,92412100,,,,
武山,たけやま,11600,92423700,,,,
馬渕,まぶち,11600,92435300,,,,
堀尾,ほりお,11600,92446900,,,,
清家,きよいえ,11600,92458500,,,,
船津,ふなづ,11600,92470100,,,,
近江,おうみ,11600,92481700,,,,
元木,もとき,11600,92493300,,,,
嶋崎,しまざき,11600,92504900,,,,
井坂,いさか,11600,92516500,,,,
土方,どかた,11600,92528100,,,,
中園,なかその,11600,92539700,,,,
菊川,きくかわ,11500,92551200,,,,
米川,よねかわ,11500,92562700,,,,
佐山,さやま,11500,92574200,,,,
須山,すやま,11500,92585700,,,,
伊波,いは,11500,92597200,,,,
星川,ほしかわ,11500,92608700,,,,
田丸,たまる,11500,92620200,,,,
大里,おおさと,11500,92631700,,,,
奥谷,おくたに,11500,92643200,,,,
宮嶋,みやじま,11500,92654700,,,,
高城,こうしろ,11400,92666100,,,,
片倉,かたくら,11400,92677500,,,,
吉松,きちまつ,11400,92688900,,,,
北条,ほうじょう,11400,92700300,,,,
有吉,ありよし,11400,92711700,,,,
海老沢,えびさわ,11400,92723100,,,,
若月,わかつき,11400,92734500,,,,
辻野,つじの,11400,92745900,,,,
日置,ひおき,11400,92757300,,,,
北口,きたぐち,11400,92768700,,,,
多賀,たが,11400,92780100,,,,
吉成,よしなり,11300,92791400,,,,
小田切,おだぎり,11300,92802700,,,,
梶川,かじかわ,11300,92814000,,,,
亀谷,かめたに,11300,92825300,,,,
坪内,つぼうち,11300,92836600,,,,
谷岡,たにおか,11300,92847900,,,,
安里,あさと,11300,92859200,,,,
江本,えもと,11300,92870500,,,,
新,しん,11300,92881800,,,,
杉谷,すぎたに,11300,92893100,,,,
山地,さんち,11200,92904300,,,,
川北,かわきた,11200,92915500,,,,
広沢,ひろさわ,11200,92926700,,,,
春山,はるやま,11200,92937900,,,,
岡安,おかやす,11200,92949100,,,,
大本,おおもと,11200,92960300,,,,
宮武,みやたけ,11200,92971500,,,,
兼子,かねこ,11200,92982700,,,,
大門,だいもん,11200,92993900,,,,
箕輪,みのわ,11200,93005100,,,,
大脇,おおわき,11200,93016300,,,,
赤沢,あかざわ,11200,93027500,,,,
河辺,かわべ,11200,93038700,,,,
巽,たつみ,11200,93049900,,,,
堀部,ほりべ,11200,93061100,,,,
戸谷,とや,11100,93072200,,,,
柴原,しばはら,11100,93083300,,,,
藤倉,ふじくら,11100,93094400,,,,
長内,おさない,11100,93105500,,,,
設楽,したら,11100,93116600,,,,
有本,ありもと,11100,93127700,,,,
佐田,さた,11000,93138700,,,,
武石,たけいし,11000,93149700,,,,
細見,さいけん,11000,93160700,,,,
田山,たやま,11000,93171700,,,,
小木曽,こぎそ,11000,93182700,,,,
間宮,まみや,11000,93193700,,,,
深津,ふかづ,11000,93204700,,,,
宮尾,みやお,11000,93215700,,,,
赤尾,あかお,11000,93226700,,,,
伊原,いはら,10900,93237600,,,,
八島,やじま,10900,93248500,,,,
中込,なかごめ,10900,93259400,,,,
田坂,たさか,10900,93270300,,,,
姫野,ひめの,10900,93281200,,,,
露木,つゆき,10900,93292100,,,,
末広,すえひろ,10900,93303000,,,,
寺山,てらやま,10900,93313900,,,,
片平,かたひら,10900,93324800,,,,
辻田,つじた,10900,93335700,,,,
国吉,くによし,10900,93346600,,,,
杉江,すぎえ,10900,93357500,,,,
糸井,いとい,10900,93368400,,,,
宮﨑,みや﨑,10800,93379200,,,,
中江,なかえ,10800,93390000,,,,
北浦,きたうら,10800,93400800,,,,
赤石,あかし,10800,93411600,,,,
江上,こうかみ,10800,93422400,,,,
真壁,まかべ,10800,93433200,,,,
曽我部,そがべ,10800,93444000,,,,
鳥山,とりやま,10800,93454800,,,,
田淵,たぶち,10800,93465600,,,,
井関,いせき,10800,93476400,,,,
牟田,むた,10800,93487200,,,,
小松原,こまつばら,10800,93498000,,,,
若井,わかい,10800,93508800,,,,
作田,さくた,10800,93519600,,,,
瀬戸口,せとぐち,10800,93530400,,,,
高宮,たかみや,10800,93541200,,,,
藤間,とうま,10700,93551900,,,,
横内,よこうち,10700,93562600,,,,
末松,すえまつ,10700,93573300,,,,
高垣,たかがき,10700,93584000,,,,
古野,ふるの,10700,93594700,,,,
高良,こうりょう,10700,93605400,,,,
金川,かながわ,10700,93616100,,,,
末次,すえつぐ,10700,93626800,,,,
半沢,はんざわ,10700,93637500,,,,
河津,かわづ,10600,93648100,,,,
草間,くさま,10600,93658700,,,,
日比,ひび,10600,93669300,,,,
二見,ふたみ,10600,93679900,,,,
吉良,よしりょう,10600,93690500,,,,
深山,ふかやま,10600,93701100,,,,
永尾,ながお,10500,93711600,,,,
上条,かみじょう,10500,93722100,,,,
角野,かくの,10500,93732600,,,,
新居,しんきょ,10500,93743100,,,,
藤平,ふじひら,10500,93753600,,,,
奥原,おくはら,10500,93764100,,,,
峯,みね,10500,93774600,,,,
朝日,あさひ,10500,93785100,,,,
岩上,いわかみ,10400,93795500,,,,
香取,かとり,10400,93805900,,,,
梅野,うめの,10400,93816300,,,,
白田,しろた,10400,93826700,,,,
山室,やまむろ,10400,93837100,,,,
早野,はやの,10400,93847500,,,,
石神,いしがみ,10400,93857900,,,,
下平,しもだいら,10400,93868300,,,,
有川,ありかわ,10300,93878600,,,,
折原,おりはら,10300,93888900,,,,
高畠,たかはた,10300,93899200,,,,
江尻,えじり,10300,93909500,,,,
速水,はやみ,10300,93919800,,,,
橋田,はしだ,10300,93930100,,,,
鷲尾,わしお,10300,93940400,,,,
佐瀬,させ,10300,93950700,,,,
稲川,いながわ,10300,93961000,,,,
永吉,ながよし,10300,93971300,,,,
里見,さとみ,10300,93981600,,,,
坂根,さかね,10300,93991900,,,,
久松,ひさまつ,10300,94002200,,,,
古家,ふるや,10300,94012500,,,,
野坂,のさか,10300,94022800,,,,
田井,だい,10200,94033000,,,,
白土,はくど,10200,94043200,,,,
西出,にしで,10200,94053400,,,,
池原,いけはら,10200,94063600,,,,
正田,しょうだ,10200,94073800,,,,
石森,いしもり,10200,94084000,,,,
前山,さきやま,10200,94094200,,,,
桐生,きりゅう,10100,94104300,,,,
菱沼,ひしぬま,10100,94114400,,,,
池永,いけなが,10100,94124500,,,,
錦織,にしきおり,10100,94134600,,,,
上坂,かみさか,10100,94144700,,,,
小田原,おだわら,10100,94154800,,,,
品田,しなだ,10100,94164900,,,,
永岡,ながおか,10100,94175000,,,,
沖野,おきの,10100,94185100,,,,
坂巻,さかまき,10100,94195200,,,,
猪野,いいの,10100,94205300,,,,
井野,いの,10100,94215400,,,,
鍋島,なべしま,10100,94225500,,,,
中崎,なかざき,10100,94235600,,,,
香月,かつき,10100,94245700,,,,
岩倉,いわくら,10100,94255800,,,,
藤代,ふじしろ,10000,94265800,,,,
宮部,みやべ,10000,94275800,,,,
宮前,みやまえ,10000,94285800,,,,
逸見,いつみ,10000,94295800,,,,
沢口,さわぐち,10000,94305800,,,,
島野,しまの,10000,94315800,,,,
小柴,こしば,10000,94325800,,,,
熊崎,くまざき,10000,94335800,,,,
笹田,ささだ,10000,94345800,,,,
嶋,しま,10000,94355800,,,,
八重樫,やえがし,10000,94365800,,,,
君島,きみじま,10000,94375800,,,,
今岡,いまおか,9900,94385700,,,,
矢内,やない,9900,94395600,,,,
湯沢,ゆざわ,9900,94405500,,,,
江島,えじま,9900,94415400,,,,
泉谷,いずみや,9900,94425300,,,,
湯田,ゆだ,9900,94435200,,,,
渕上,ふちがみ,9900,94445100,,,,
白岩,しらいわ,9900,94455000,,,,
仁科,にしな,9900,94464900,,,,
立野,たての,9900,94474800,,,,
宮永,みやなが,9900,94484700,,,,
大道,だいどう,9900,94494600,,,,
又吉,またよし,9800,94504400,,,,
小野塚,おのづか,9800,94514200,,,,
木崎,きざき,9800,94524000,,,,
本庄,ほんじょう,9800,94533800,,,,
飯尾,いいお,9800,94543600,,,,
中瀬,なかせ,9800,94553400,,,,
寺嶋,てらしま,9800,94563200,,,,
川久保,かわくぼ,9800,94573000,,,,
野瀬,のせ,9800,94582800,,,,
松藤,まつふじ,9800,94592600,,,,
田野,でんや,9800,94602400,,,,
宮岡,みやおか,9800,94612200,,,,
高桑,たかくわ,9700,94621900,,,,
山際,やまぎわ,9700,94631600,,,,
石島,いしじま,9700,94641300,,,,
三角,さんかく,9700,94651000,,,,
浅岡,あさおか,9700,94660700,,,,
木山,きやま,9700,94670400,,,,
岩﨑,いわ﨑,9700,94680100,,,,
門馬,もんま,9700,94689800,,,,
成沢,なりさわ,9700,94699500,,,,
笹岡,ささおか,9700,94709200,,,,
尾田,おだ,9700,94718900,,,,
中垣,なかがき,9700,94728600,,,,
野々村,ののむら,9700,94738300,,,,
嶋村,しまむら,9700,94748000,,,,
梅崎,うめさき,9700,94757700,,,,
小黒,おぐろ,9700,94767400,,,,
関戸,せきと,9600,94777000,,,,
松丸,まつまる,9600,94786600,,,,
伊佐,いさ,9600,94796200,,,,
柳本,やなぎもと,9600,94805800,,,,
手嶋,てじま,9600,94815400,,,,
木暮,こぐれ,9600,94825000,,,,
大月,おおつき,9600,94834600,,,,
隅田,すみた,9600,94844200,,,,
景山,かげやま,9600,94853800,,,,
赤池,あかいけ,9600,94863400,,,,
北林,きたばやし,9600,94873000,,,,
菅田,すげた,9600,94882600,,,,
具志堅,ぐしけん,9600,94892200,,,,
福村,ふくむら,9600,94901800,,,,
羽生,はぶ,9600,94911400,,,,
青田,あおた,9600,94921000,,,,
諸岡,もろおか,9500,94930500,,,,
一瀬,いちのせ,9500,94940000,,,,
羽賀,はが,9500,94949500,,,,
木元,きもと,9500,94959000,,,,
碓井,うすい,9500,94968500,,,,
兵藤,ひょうどう,9500,94978000,,,,
米澤,よねざわ,9500,94987500,,,,
津久井,つくい,9500,94997000,,,,
梅澤,うめざわ,9500,95006500,,,,
笹井,ささい,9500,95016000,,,,
柏崎,かしわざき,9500,95025500,,,,
仙波,せんば,9500,95035000,,,,
伊丹,いたみ,9500,95044500,,,,
浜島,はまじま,9400,95053900,,,,
船山,ふなやま,9400,95063300,,,,
北尾,きたお,9400,95072700,,,,
古瀬,ふるせ,9400,95082100,,,,
四方,しほう,9400,95091500,,,,
河島,かわしま,9400,95100900,,,,
八代,はちだい,9400,95110300,,,,
猪瀬,いのせ,9400,95119700,,,,
浅利,あさり,9400,95129100,,,,
小河,おがわ,9400,95138500,,,,
大浜,おおはま,9400,95147900,,,,
浦上,うらがみ,9400,95157300,,,,
阪田,さかた,9400,95166700,,,,
広野,ひろの,9400,95176100,,,,
永谷,ながたに,9400,95185500,,,,
鳥井,とりい,9400,95194900,,,,
遊佐,ゆさ,9400,95204300,,,,
楠田,くすだ,9400,95213700,,,,
桝田,ますだ,9400,95223100,,,,
山木,やまき,9400,95232500,,,,
桑山,くわやま,9400,95241900,,,,
溝上,みぞかみ,9400,95251300,,,,
常盤,ひたち,9300,95260600,,,,
所,ところ,9300,95269900,,,,
中橋,なかはし,9300,95279200,,,,
戸川,とがわ,9300,95288500,,,,
若狭,わかさ,9300,95297800,,,,
中元,ちゅうげん,9300,95307100,,,,
大垣,おおがき,9300,95316400,,,,
松倉,まつくら,9300,95325700,,,,
丹治,たんじ,9300,95335000,,,,
山添,やまぞえ,9300,95344300,,,,
深瀬,ふかせ,9300,95353600,,,,
綾部,あやべ,9300,95362900,,,,
水戸,みと,9300,95372200,,,,
一戸,いちこ,9300,95381500,,,,
新妻,にいづま,9300,95390800,,,,
曾根,そね,9200,95400000,,,,
檜山,ひやま,9200,95409200,,,,
勝野,かつの,9200,95418400,,,,
彦坂,ひこさか,9200,95427600,,,,
向後,こうご,9200,95436800,,,,
別所,べっしょ,9200,95446000,,,,
杉岡,すぎおか,9200,95455200,,,,
久我,くが,9200,95464400,,,,
一色,いっしょく,9200,95473600,,,,
岩淵,いわぶち,9200,95482800,,,,
春名,はるな,9200,95492000,,,,
峯岸,みねぎし,9200,95501200,,,,
根津,ねづ,9200,95510400,,,,
大串,おおぐし,9200,95519600,,,,
能勢,のせ,9100,95528700,,,,
内川,うちかわ,9100,95537800,,,,
奥平,おくだいら,9100,95546900,,,,
伊賀,いが,9100,95556000,,,,
田沼,たぬま,9100,95565100,,,,
奥井,おくい,9100,95574200,,,,
立山,たてやま,9100,95583300,,,,
竹野,たけの,9100,95592400,,,,
岸川,きしかわ,9100,95601500,,,,
穂積,ほづみ,9100,95610600,,,,
能登,のと,9100,95619700,,,,
笠松,かさまつ,9100,95628800,,,,
阿南,あなみ,9100,95637900,,,,
笹木,ささき,9100,95647000,,,,
室田,むろた,9100,95656100,,,,
小牧,こまき,9000,95665100,,,,
引地,ひきち,9000,95674100,,,,
平澤,ひらさわ,9000,95683100,,,,
押田,おしだ,9000,95692100,,,,
田仲,たなか,9000,95701100,,,,
北本,きたもと,9000,95710100,,,,
朝比奈,あさひな,9000,95719100,,,,
北條,ほうじょう,9000,95728100,,,,
荒巻,あらまき,9000,95737100,,,,
小早川,こばやかわ,9000,95746100,,,,
西嶋,にしじま,9000,95755100,,,,
上川,かみかわ,9000,95764100,,,,
田部,たなべ,9000,95773100,,,,
神林,かんばやし,9000,95782100,,,,
柚木,ゆずき,9000,95791100,,,,
瓜生,うりゅう,8900,95800000,,,,
杉森,すぎもり,8900,95808900,,,,
榎,えのき,8900,95817800,,,,
赤川,あかがわ,8900,95826700,,,,
宇井,うい,8900,95835600,,,,
川﨑,かわ﨑,8900,95844500,,,,
津島,つしま,8900,95853400,,,,
芦沢,あしざわ,8900,95862300,,,,
牛田,うしだ,8800,95871100,,,,
山名,やまな,8800,95879900,,,,
飯山,いいやま,8800,95888700,,,,
李,り,8800,95897500,,,,
吉住,よしずみ,8800,95906300,,,,
石谷,いしがや,8800,95915100,,,,
迫,さこ,8800,95923900,,,,
諸橋,もろはし,8800,95932700,,,,
椎葉,しいば,8800,95941500,,,,
三澤,みさわ,8800,95950300,,,,
金光,こんこう,8800,95959100,,,,
岩尾,いわお,8800,95967900,,,,
駒田,こまだ,8800,95976700,,,,
浦山,うらやま,8800,95985500,,,,
信田,のぶた,8700,95994200,,,,
国本,こくほん,8700,96002900,,,,
守谷,もりや,8700,96011600,,,,
中条,ちゅうじょう,8700,96020300,,,,
桜木,さくらぎ,8700,96029000,,,,
櫛田,くしだ,8700,96037700,,,,
漆原,うるしばら,8700,96046400,,,,
谷中,たになか,8700,96055100,,,,
仲間,なかま,8700,96063800,,,,
仲本,なかもと,8700,96072500,,,,
日吉,ひよし,8700,96081200,,,,
前沢,まえさわ,8700,96089900,,,,
安保,あんぽ,8700,96098600,,,,
北井,きたい,8700,96107300,,,,
田部井,たべい,8700,96116000,,,,
寺門,てらかど,8700,96124700,,,,
栗栖,くりす,8700,96133400,,,,
新海,しんかい,8700,96142100,,,,
柏,かしわ,8700,96150800,,,,
宮井,みやい,8700,96159500,,,,
助川,すけかわ,8700,96168200,,,,
新野,にいの,8700,96176900,,,,
菱田,ひしだ,8700,96185600,,,,
宇津木,うつき,8600,96194200,,,,
原野,げんや,8600,96202800,,,,
城田,しろた,8600,96211400,,,,
内堀,うちぼり,8600,96220000,,,,
仲川,なかがわ,8600,96228600,,,,
桑名,くわな,8600,96237200,,,,
真島,まじま,8600,96245800,,,,
杉,すぎ,8600,96254400,,,,
木場,きば,8600,96263000,,,,
梶本,かじもと,8600,96271600,,,,
津川,つがわ,8600,96280200,,,,
宇佐見,うさみ,8600,96288800,,,,
向,むかい,8600,96297400,,,,
熊木,くまき,8600,96306000,,,,
陶山,すやま,8500,96314500,,,,
柳谷,やなぎや,8500,96323000,,,,
中辻,なかつじ,8500,96331500,,,,
門間,かどま,8500,96340000,,,,
樋渡,ひわたり,8500,96348500,,,,
谷崎,たにざき,8500,96357000,,,,
阪上,ばんかみ,8500,96365500,,,,
谷野,たにの,8500,96374000,,,,
米本,よねもと,8500,96382500,,,,
勝俣,かつまた,8500,96391000,,,,
清川,きよかわ,8500,96399500,,,,
蓮見,はすみ,8500,96408000,,,,
今枝,いまえだ,8500,96416500,,,,
木野,きの,8500,96425000,,,,
今津,いまづ,8500,96433500,,,,
高安,たかやす,8500,96442000,,,,
田宮,たみや,8500,96450500,,,,
植竹,うえたけ,8500,96459000,,,,
安野,やすの,8500,96467500,,,,
冨岡,とみおか,8500,96476000,,,,
小谷野,こやの,8500,96484500,,,,
青井,あおい,8500,96493000,,,,
綿引,わたびき,8400,96501400,,,,
権田,ごんだ,8400,96509800,,,,
中上,なかがみ,8400,96518200,,,,
深野,ふかの,8400,96526600,,,,
坂内,ばんない,8400,96535000,,,,
平出,ひらで,8400,96543400,,,,
堀之内,ほりのうち,8400,96551800,,,,
亀岡,かめおか,8400,96560200,,,,
峰,みね,8400,96568600,,,,
二木,ふたき,8400,96577000,,,,
比留間,ひるま,8400,96585400,,,,
澤,さわ,8400,96593800,,,,
横沢,よこざわ,8400,96602200,,,,
布川,ふかわ,8400,96610600,,,,
橋場,はしば,8400,96619000,,,,
大隅,おおすみ,8400,96627400,,,,
荒田,あらた,8400,96635800,,,,
白浜,しらはま,8400,96644200,,,,
川俣,かわまた,8300,96652500,,,,
山辺,やまべ,8300,96660800,,,,
大町,おおまち,8300,96669100,,,,
山之内,やまのうち,8300,96677400,,,,
沢野,さわの,8300,96685700,,,,
仁平,にだいら,8300,96694000,,,,
藤永,ふじなが,8300,96702300,,,,
柳下,やぎした,8300,96710600,,,,
水村,みずむら,8300,96718900,,,,
粟野,あわの,8300,96727200,,,,
北澤,きたざわ,8300,96735500,,,,
山越,やまこし,8300,96743800,,,,
中居,なかい,8300,96752100,,,,
堀本,ほりもと,8300,96760400,,,,
涌井,わくい,8300,96768700,,,,
中津,なかつ,8300,96777000,,,,
東条,とうじょう,8300,96785300,,,,
船田,ふなだ,8300,96793600,,,,
広井,ひろい,8300,96801900,,,,
市野,いちの,8300,96810200,,,,
勝部,かつべ,8300,96818500,,,,
喜田,きた,8200,96826700,,,,
森内,もりうち,8200,96834900,,,,
東谷,ひがしたに,8200,96843100,,,,
泉田,いずみだ,8200,96851300,,,,
大出,おおいで,8200,96859500,,,,
東郷,とうごう,8200,96867700,,,,
中畑,なかはた,8200,96875900,,,,
鈴村,すずむら,8200,96884100,,,,
松平,まつだいら,8200,96892300,,,,
木幡,きばた,8200,96900500,,,,
宮口,みやぐち,8200,96908700,,,,
千原,ちはら,8200,96916900,,,,
水落,みずおち,8200,96925100,,,,
奥本,おくもと,8100,96933200,,,,
中條,ちゅうじょう,8100,96941300,,,,
田頭,たがしら,8100,96949400,,,,
坂部,さかべ,8100,96957500,,,,
高浜,たかはま,8100,96965600,,,,
千野,ちの,8100,96973700,,,,
武本,たけもと,8100,96981800,,,,
牛山,うしやま,8100,96989900,,,,
津野,つの,8100,96998000,,,,
澤井,さわい,8100,97006100,,,,
向田,むこうだ,8100,97014200,,,,
斎木,さいき,8100,97022300,,,,
小貫,おぬき,8100,97030400,,,,
宮,みや,8100,97038500,,,,
真木,まき,8100,97046600,,,,
川岸,かわぎし,8100,97054700,,,,
茅野,ちの,8100,97062800,,,,
肥田,ひだ,8000,97070800,,,,
加地,かじ,8000,97078800,,,,
稲見,いなみ,8000,97086800,,,,
新堀,しんぼり,8000,97094800,,,,
峰岸,みねぎし,8000,97102800,,,,
羽田野,はたの,8000,97110800,,,,
魚住,うおずみ,8000,97118800,,,,
松宮,まつみや,8000,97126800,,,,
竹森,たけもり,8000,97134800,,,,
肥後,ひご,8000,97142800,,,,
大東,だいとう,8000,97150800,,,,
市田,いちだ,8000,97158800,,,,
古木,ふるき,8000,97166800,,,,
仁木,にき,8000,97174800,,,,
藤城,ふじしろ,8000,97182800,,,,
佐々,さ々,8000,97190800,,,,
三田村,みたむら,8000,97198800,,,,
兼田,かねだ,7900,97206700,,,,
古本,ふるほん,7900,97214600,,,,
鵜沢,うざわ,7900,97222500,,,,
蜂谷,はちや,7900,97230400,,,,
臼田,うすだ,7900,97238300,,,,
大藤,おおふじ,7900,97246200,,,,
白水,しろみず,7900,97254100,,,,
南野,みなみの,7900,97262000,,,,
増本,ますもと,7900,97269900,,,,
舘,やかた,7900,97277800,,,,
諸星,もろぼし,7900,97285700,,,,
柿原,かきはら,7900,97293600,,,,
井内,いうち,7900,97301500,,,,
大窪,おおくぼ,7900,97309400,,,,
本木,もとぎ,7900,97317300,,,,
谷沢,たにさわ,7900,97325200,,,,
岡元,おかもと,7900,97333100,,,,
道下,みちした,7900,97341000,,,,
仲谷,なかたに,7900,97348900,,,,
柳生,やぎゅう,7900,97356800,,,,
折田,おりた,7900,97364700,,,,
笹山,ささやま,7900,97372600,,,,
甲田,こうだ,7900,97380500,,,,
平沼,ひらぬま,7900,97388400,,,,
牛尾,うしお,7800,97396200,,,,
赤星,あかほし,7800,97404000,,,,
前,まえ,7800,97411800,,,,
仲井,なかい,7800,97419600,,,,
今関,いまぜき,7800,97427400,,,,
丸谷,まるや,7800,97435200,,,,
与那嶺,よなみね,7800,97443000,,,,
大畠,おおはた,7800,97450800,,,,
加来,かく,7800,97458600,,,,
荒,あら,7800,97466400,,,,
寺村,てらむら,7800,97474200,,,,
倉島,くらしま,7800,97482000,,,,
深町,ふかまち,7800,97489800,,,,
永原,ながはら,7800,97497600,,,,
野地,のち,7800,97505400,,,,
森元,もりもと,7800,97513200,,,,
三野,みの,7800,97521000,,,,
仲里,なかざと,7800,97528800,,,,
桐原,きりはら,7800,97536600,,,,
坂倉,さかくら,7800,97544400,,,,
浜村,はまむら,7800,97552200,,,,
花房,はなぶさ,7800,97560000,,,,
木口,きぐち,7700,97567700,,,,
山森,やまもり,7700,97575400,,,,
高,こう,7700,97583100,,,,
荒牧,あらまき,7700,97590800,,,,
清宮,せいみや,7700,97598500,,,,
小野沢,おのざわ,7700,97606200,,,,
豊岡,とよおか,7700,97613900,,,,
丹下,たんげ,7700,97621600,,,,
権藤,ごんどう,7700,97629300,,,,
金崎,かねさき,7700,97637000,,,,
武村,たけむら,7700,97644700,,,,
中屋,なかや,7700,97652400,,,,
岩川,いわかわ,7700,97660100,,,,
大池,おおいけ,7700,97667800,,,,
井藤,いふじ,7700,97675500,,,,
藤尾,ふじお,7700,97683200,,,,
小滝,こだき,7700,97690900,,,,
和気,わき,7700,97698600,,,,
大黒,だいこく,7700,97706300,,,,
三森,みもり,7700,97714000,,,,
新家,しんや,7700,97721700,,,,
沖本,おきもと,7700,97729400,,,,
白崎,しらさき,7700,97737100,,,,
安武,やすたけ,7600,97744700,,,,
吉富,よしとみ,7600,97752300,,,,
寺川,てらがわ,7600,97759900,,,,
椎野,しいの,7600,97767500,,,,
冨山,とやま,7600,97775100,,,,
吉山,よしやま,7600,97782700,,,,
板東,ばんどう,7600,97790300,,,,
宮木,みやぎ,7600,97797900,,,,
関田,せきた,7600,97805500,,,,
新開,しんかい,7600,97813100,,,,
吉元,よしもと,7600,97820700,,,,
武市,たけいち,7600,97828300,,,,
徳丸,とくまる,7600,97835900,,,,
河端,かわばた,7600,97843500,,,,
上間,うえま,7600,97851100,,,,
水沢,すいたく,7600,97858700,,,,
野々山,ののやま,7600,97866300,,,,
芝崎,しばさき,7600,97873900,,,,
大家,おおや,7600,97881500,,,,
茨木,いばらぎ,7600,97889100,,,,
福崎,ふくざき,7600,97896700,,,,
谷津,たにつ,7600,97904300,,,,
三嶋,みしま,7600,97911900,,,,
笠間,かさま,7600,97919500,,,,
佐古,さこ,7500,97927000,,,,
江村,えむら,7500,97934500,,,,
米原,まいばら,7500,97942000,,,,
一柳,いちりゅう,7500,97949500,,,,
安村,やすむら,7500,97957000,,,,
春木,はるき,7500,97964500,,,,
脇本,わきもと,7500,97972000,,,,
草場,くさば,7500,97979500,,,,
嵯峨,さが,7500,97987000,,,,
福間,ふくま,7500,97994500,,,,
稲本,いなもと,7500,98002000,,,,
川中,かわなか,7500,98009500,,,,
沖山,おきやま,7500,98017000,,,,
遠田,えんだ,7500,98024500,,,,
畑野,はたの,7400,98031900,,,,
石松,ひかげのかずら,7400,98039300,,,,
福富,ふくとみ,7400,98046700,,,,
西内,にしうち,7400,98054100,,,,
山県,やまがた,7400,98061500,,,,
鶴,つる,7400,98068900,,,,
松嶋,まつしま,7400,98076300,,,,
野津,のづ,7400,98083700,,,,
小岩,こいわ,7400,98091100,,,,
小路,こうじ,7400,98098500,,,,
南川,みなみかわ,7400,98105900,,,,
盛田,もりた,7400,98113300,,,,
加島,かしま,7400,98120700,,,,
新屋,あらや,7400,98128100,,,,
表,ひょう,7400,98135500,,,,
長倉,ながくら,7400,98142900,,,,
久保木,くぼき,7400,98150300,,,,
谷田部,やたべ,7400,98157700,,,,
衣川,きぬがわ,7400,98165100,,,,
溝渕,みぞぶち,7300,98172400,,,,
祖父江,そふえ,7300,98179700,,,,
芳野,よしの,7300,98187000,,,,
木藤,きとう,7300,98194300,,,,
西條,さいじょう,7300,98201600,,,,
宮腰,みやごし,7300,98208900,,,,
生井,いくい,7300,98216200,,,,
白坂,しらさか,7300,98223500,,,,
戸沢,とざわ,7300,98230800,,,,
古閑,こが,7300,98238100,,,,
酒巻,さかまき,7300,98245400,,,,
永江,ながえ,7300,98252700,,,,
最上,さいじょう,7300,98260000,,,,
中出,なかいで,7300,98267300,,,,
上條,かみじょう,7300,98274600,,,,
弓削,ゆげ,7300,98281900,,,,
稗田,ひえた,7300,98289200,,,,
大口,おおぐち,7300,98296500,,,,
熊坂,くまさか,7300,98303800,,,,
浜岡,はまおか,7300,98311100,,,,
梶野,かじの,7300,98318400,,,,
岩澤,いわさわ,7300,98325700,,,,
